authFullName_s,producedDate_s,journalTitle_s,conferenceTitle_s,conferenceStartDate_s
"James Bell,Aurélien Bellet,Adrià Gascón,Tejas Kulkarni",2020-08-26,,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020-08-26
"Clémence Réda,Emilie Kaufmann,Andrée Delahaye-Duriez",2021,,Proceedings of the 24th International Conference on Artificial Intelligence and Statistics (AISTATS),2021
"Igor Colin,Aurélien Bellet,Joseph Salmon,Stéphan Clémençon",2016-06-19,,International Conference on Machine Learning (ICML 2016),2016-06-19
"Guillaume Gautier,R. Bardenet,Michal Valko",2019-06-14,,NEGDEPML 2019 - ICML Workshop on Negative Dependence in ML,2019-06-14
"Hadrien Glaude,Olivier Pietquin",2016-06-19,,International Conference on Machine Learning (ICML 2016),2016-06-19
"Pascal Germain,Amaury Habrard,François Laviolette,Emilie Morvant",2016-06-19,,33rd International Conference on Machine Learning (ICML 2016),2016-06-19
"Vivien Cabannes,Alessandro Rudi,Francis Bach",2020-07-13,,ICML 2020 - 37th International Conference on Machine Learning,2020-07-13
"Robin Vogel,Aurélien Bellet,Stéphan Clémençon",2018,,International Conference on Machine Learning (ICML 2018),2018
"Cédric Colas,Pierre Fournier,Olivier Sigaud,Mohamed Chetouani,Pierre-Yves Oudeyer",2019-06-09,,ICML 2019 - Thirty-sixth International Conference on Machine Learning,2019-06-09
"Mathieu Serrurier,Henri Prade",2015-07-06,,32nd International Conference on Machine Learning (ICML 2015),2015-07-06
"Muhammet Balcilar,Pierre Héroux,Benoit Gaüzère,Pascal Vasseur,Sébastien Adam,Paul Honeine",2021-07-18,,Proceedings of the 38th International Conference on Machine Learning (ICML),2021-07-18
"Balcilar Muhammet,Renton Guillaume,Héroux Pierre,Gaüzère Benoit,Adam Sébastien,Paul Honeine",2020-07-12,,Thirty-seventh International Conference on Machine Learning (ICML 2020) - Workshop on Graph Representation Learning and Beyond (GRL+ 2020),2020-07-12
"Muhammet Balcilar,Guillaume Renton,Pierre Héroux,Benoit Gaüzère,Sébastien Adam,Paul Honeine",2020-07-12,,Proceedings of Thirty-seventh International Conference on Machine Learning (ICML 2020) - Workshop on Graph Representation Learning and Beyond (GRL+ 2020),2020-07-12
"Eugene Belilovsky,Michael Eickenberg,Edouard Oyallon",2019-06-09,,ICML 2019 - 36th International Conference on Machine Learning,2019-06-09
"Yonathan Efroni,Gal Dalal,Bruno Scherrer,Shie Mannor",2018-07-10,,ICML 2018 - 35th International Conference on Machine Learning,2018-07-10
"Pierre Machart,Thomas Peel,Liva Ralaivola,Sandrine Anthoine,Hervé Glotin",2011-06-28,,International Conference on Machine Learning (ICML'11),2011-06-28
"Manel Tagorti,Bruno Scherrer",2015-07-06,,ICML 2015,2015-07-06
"Bishnu Sarker,Marie-Dominique Devignes,Guy Wolf,Sabeur Aridhi",2021-07-24,,ICML 2021 - Workshop on Computational Biology,2021-07-24
